01  (64,92)  (16,139)  (16,91)  (111,140)  (64,44)  (112,44)  (112,92)  (14,43)  (63,187)  (15,187)  (159,140)  (159,188)  (111,188)  (160,0)  (160,48)  | overflowToLeft=false
12  (109,1410)  (61,1457)  (61,1409)  (156,1458)  (109,1362)  (157,1362)  (157,1410)  (59,1361)  (108,1505)  (60,1505)  (13,1457)  (13,1409)  (204,1458)  (204,1506)  (156,1506)  (12,1506)  (107,1314)  (155,1314)  (203,1314)  (205,1362)  (205,1410)  (11,1361)  (11,1313)  (59,1313)  (108,1553)  (60,1553)  (199,1554)  (12,1554)  (253,1328)  (253,1376)  | overflowToLeft=false
13  (49,1688)  (1,1735)  (1,1687)  (96,1736)  (49,1640)  (97,1640)  (97,1688)  (0,1639)  (48,1783)  (0,1783)  (133,1784)  (145,1612)  | overflowToLeft=false
14  (502,1355)  (454,1402)  (454,1354)  (549,1403)  (502,1307)  (550,1307)  (550,1355)  (406,1348)  | overflowToLeft=false
15  (750,1313)  (702,1349)  (760,1265)  (798,1313)  (808,1255)  (655,1397)  (654,1349)  | overflowToLeft=false
16  (954,1224)  (906,1271)  (906,1223)  (1001,1272)  (954,1176)  (1002,1176)  (1002,1224)  (904,1175)  (952,1128)  (1000,1128)  (949,1080)  (997,1080)  | overflowToLeft=false
17  (1071,938)  (1023,985)  (1023,937)  (1072,986)  (1071,890)  (1119,890)  (975,1027)  (975,979)  (1167,852)  (1167,900)  | overflowToLeft=false
18  (1305,938)  (1257,947)  (1346,986)  (1294,890)  (1342,890)  (1298,995)  (1229,853)  (1277,842)  (1325,842)  (1290,794)  (1338,794)  | overflowToLeft=false
Lauriacum  (2385,74)  (2337,121)  (2337,73)  (2424,122)  (2385,26)  (2433,26)  (2433,74)  (2335,25)  (2289,128)  (2289,80)  (2481,1)  (2287,32)  (2239,52)  (2239,4)  (2191,34)  | overflowToLeft=false
19  (1405,689)  (1357,736)  (1357,688)  (1452,737)  (1405,641)  (1453,641)  (1453,689)  | overflowToLeft=false
Heraclea Pontica  (3792,683)  (3744,730)  (3744,682)  (3819,731)  (3792,635)  (3840,635)  (3840,683)  (3744,634)  | overflowToLeft=false
Massilia  (1612,543)  (1564,590)  (1564,542)  (1659,591)  (1612,495)  (1660,497)  (1562,494)  (1516,610)  (1516,562)  (1468,576)  | overflowToLeft=false
Acci  (535,1217)  (487,1258)  (487,1210)  (583,1189)  (583,1237)  (479,1162)  (631,1188)  (631,1236)  (679,1211)  (679,1259)  | overflowToLeft=false
Pella  (2952,744)  (2904,717)  (2999,792)  (2951,792)  (2952,696)  (2876,669)  (2951,840)  (2924,648)  (2972,648)  | overflowToLeft=false
Halicarnassus  (3613,1157)  (3565,1195)  (3565,1147)  (3640,1205)  (3624,1109)  (3661,1157)  (3672,1098)  (3517,1193)  (3720,1081)  (3720,1129)  | overflowToLeft=false
20  (1587,696)  (1539,743)  (1539,695)  (1634,744)  (1635,664)  (1682,712)  (1683,642)  | overflowToLeft=false
21  (1863,635)  (1904,683)  (1838,587)  (1790,583)  (1838,539)  | overflowToLeft=false
22  (1464,924)  (1416,971)  (1416,923)  (1511,972)  (1464,876)  (1512,876)  (1512,924)  (1414,875)  (1463,1019)  (1415,1019)  (1525,1020)  (1462,828)  (1510,828)  (1384,827)  | overflowToLeft=false
23  (1612,930)  (1564,977)  (1564,929)  (1659,978)  (1612,882)  (1660,917)  (1563,881)  (1660,853)  (1611,1025)  (1662,1026)  (1611,834)  (1563,833)  (1659,805)  | overflowToLeft=false
Burdigala  (1075,252)  (1027,299)  (1027,251)  (1122,300)  (1075,204)  (1123,204)  (1123,252)  (979,297)  (1131,156)  (1171,204)  (1179,148)  (1227,136)  | overflowToLeft=false
24  (1884,827)  (1836,863)  (1931,875)  (1863,779)  (1911,779)  (1932,827)  | overflowToLeft=false
25  (2019,825)  (2066,873)  (2018,873)  (1981,777)  (1947,712)  (1942,664)  | overflowToLeft=false
26  (1884,996)  (1931,1044)  (1883,1044)  (1852,948)  (1900,948)  (1932,996)  | overflowToLeft=false
27  (2064,968)  (2016,1015)  (2016,967)  (2111,1016)  (2064,920)  (2112,920)  (2112,968)  (2014,919)  | overflowToLeft=false
28  (2236,977)  (2188,1024)  (2188,976)  (2283,1025)  (2186,928)  (2331,1010)  | overflowToLeft=false
Namnetes  (1027,50)  (979,97)  (979,49)  (1074,98)  (1027,2)  (1075,2)  (1075,50)  (977,1)  (1026,145)  (978,145)  (931,60)  (1122,98)  (1123,0)  (1123,48)  (929,12)  | overflowToLeft=false
29  (1143,1157)  (1095,1204)  (1095,1156)  (1190,1205)  (1143,1109)  (1191,1109)  (1191,1157)  (1093,1108)  (1142,1252)  (1094,1252)  (1238,1205)  (1195,1253)  (1239,1065)  (1239,1113)  | overflowToLeft=false
Palmyra  (4504,1544)  (4456,1591)  (4456,1543)  (4539,1592)  (4504,1496)  (4552,1496)  (4552,1544)  (4454,1495)  (4491,1639)  (4443,1639)  (4408,1591)  (4408,1543)  (4502,1448)  (4550,1448)  (4598,1448)  (4600,1496)  (4395,1652)  (4360,1604)  (4534,1400)  (4582,1400)  | overflowToLeft=false
Barcino  (1191,758)  (1143,805)  (1143,757)  (1206,806)  (1191,710)  (1239,724)  (1141,709)  (1095,786)  (1093,738)  (1093,690)  (1085,642)  | overflowToLeft=false
Tarsus  (4092,971)  (4044,1016)  (4044,968)  (4117,1019)  (4092,923)  (4140,923)  (4140,971)  (4106,1067)  (4088,875)  (4136,875)  (4188,885)  (4188,933)  (4188,981)  (4236,934)  (4236,982)  | overflowToLeft=false
Cestra Regina  (1971,35)  (1923,82)  (1923,34)  (2019,0)  (2019,48)  (1875,55)  (1875,7)  (2067,0)  (2067,48)  (1827,55)  (1827,7)  (2115,0)  (2115,48)  (1779,58)  (1779,10)  | overflowToLeft=false
Sarai  (4896,77)  (4848,124)  (4848,76)  (4943,125)  (4896,29)  (4944,29)  (4944,77)  (4846,28)  (4895,172)  (4800,116)  (4991,125)  (4991,173)  (4943,173)  (4992,0)  (4992,48)  (4798,68)  (4798,20)  (5039,96)  (5039,144)  (5039,192)  (4991,221)  (4943,221)  (5040,0)  (5040,48)  (4750,101)  (4750,53)  (4750,5)  (5087,96)  (5087,144)  (4995,269)  (5088,0)  (5088,48)  (4702,41)  (5135,96)  (5136,0)  (5136,48)  (4654,37)  (5184,0)  (5184,48)  (4606,24)  (5232,0)  (5280,0)  (5317,48)  (5328,0)  | overflowToLeft=false
Emesa  (4357,1346)  (4309,1348)  (4404,1394)  (4316,1298)  (4364,1298)  (4405,1346)  (4356,1396)  (4412,1291)  (4410,1442)  (4337,1250)  (4385,1243)  | overflowToLeft=false
Napoca  (3045,99)  (2997,146)  (2997,98)  (3092,147)  (3045,51)  (3093,51)  (3093,99)  (2995,50)  (2949,170)  (2949,122)  (3140,147)  (3043,3)  (3091,3)  (3141,80)  (2947,74)  (2984,2)  (2901,154)  | overflowToLeft=false
Scallabis  (277,764)  (307,812)  (259,812)  (253,716)  (301,716)  (301,860)  | overflowToLeft=false
Mediolanum  (1810,345)  (1762,392)  (1762,344)  (1810,297)  (1858,314)  (1858,362)  (1760,296)  (1714,423)  (1714,375)  | overflowToLeft=false
Pergamum  (3450,909)  (3402,956)  (3402,908)  (3497,957)  (3450,861)  (3498,861)  (3498,909)  (3354,938)  (3546,891)  | overflowToLeft=false
Aleria  (1800,711)  (1817,759)  (1769,759)  (1776,663)  | overflowToLeft=false
Pharan  (3840,1920)  (3792,1899)  (3887,1968)  (3839,1968)  (3840,1872)  (3888,1872)  (3888,1920)  (3770,1851)  (3878,2016)  (3818,1824)  (3866,1824)  | overflowToLeft=false
Capsa  (1672,1752)  (1624,1796)  (1624,1748)  (1672,1704)  (1720,1710)  (1720,1758)  (1576,1796)  (1576,1748)  (1768,1716)  (1768,1764)  | overflowToLeft=false
30  (1390,1124)  (1342,1171)  (1342,1123)  (1437,1172)  (1390,1076)  (1438,1076)  (1438,1124)  (1340,1075)  (1389,1219)  (1341,1219)  (1468,1220)  | overflowToLeft=false
31  (1615,1140)  (1567,1187)  (1567,1139)  (1662,1188)  (1615,1092)  (1663,1092)  (1663,1140)  (1565,1091)  (1519,1234)  (1519,1186)  (1517,1138)  (1517,1090)  | overflowToLeft=false
Ecbatana  (5302,1422)  (5254,1469)  (5254,1421)  (5349,1470)  (5302,1374)  (5350,1374)  (5350,1422)  (5252,1373)  (5206,1476)  (5206,1428)  (5352,1518)  (5204,1380)  (5204,1332)  (5158,1465)  (5156,1417)  (5156,1369)  | overflowToLeft=false
32  (1864,1145)  (1816,1185)  (1816,1137)  (1911,1193)  (1912,1099)  (1768,1189)  (1768,1141)  | overflowToLeft=false
33  (2052,1127)  (2004,1174)  (2004,1126)  (2100,1081)  (2100,1129)  (2115,1177)  (1984,1222)  (1987,1270)  | overflowToLeft=false
Thenae  (1902,1722)  (1854,1769)  (1854,1721)  (1949,1770)  (1902,1674)  (1950,1674)  (1950,1722)  (1852,1673)  (1900,1626)  (1998,1659)  (1850,1625)  | overflowToLeft=false
34  (2262,1125)  (2214,1172)  (2214,1124)  (2309,1173)  (2262,1077)  (2310,1077)  (2310,1125)  (2212,1076)  (2357,1173)  (2358,1095)  | overflowToLeft=false
35  (2475,1227)  (2427,1182)  (2418,1134)  (2551,1327)  (2450,1366)  (2503,1370)  (2551,1375)  | overflowToLeft=false
Capua  (2401,945)  (2353,961)  (2448,993)  (2449,930)  (2400,1009)  (2496,985)  (2469,1041)  (2421,1057)  | overflowToLeft=false
36  (2011,1404)  (1963,1451)  (1963,1403)  (2036,1452)  (2011,1356)  (2059,1356)  (2059,1404)  (1961,1355)  (2107,1379)  (2112,1427)  | overflowToLeft=false
37  (2004,1574)  (1956,1593)  (1956,1545)  (2004,1526)  (2052,1527)  (2052,1575)  (1908,1564)  (2100,1560)  (2100,1608)  | overflowToLeft=false
Teredon  (4981,2004)  (4933,2051)  (4933,2003)  (5028,2052)  (4981,1956)  | overflowToLeft=false
38  (2250,1502)  (2202,1549)  (2202,1501)  (2297,1550)  (2298,1483)  (2200,1453)  | overflowToLeft=false
39  (2289,1658)  (2241,1664)  (2241,1616)  (2336,1706)  (2289,1610)  (2337,1610)  (2337,1658)  (2193,1647)  (2377,1754)  (2329,1754)  | overflowToLeft=false
Cale  (267,599)  (219,646)  (219,598)  (267,551)  (315,551)  (315,599)  (217,550)  (171,639)  (363,544)  (169,591)  | overflowToLeft=false
Hippo Regius  (1492,1343)  (1444,1390)  (1444,1342)  (1539,1391)  (1492,1295)  (1540,1295)  (1540,1343)  (1442,1294)  (1396,1431)  (1396,1383)  (1587,1391)  (1588,1268)  (1588,1316)  (1394,1335)  (1394,1287)  (1348,1406)  (1635,1364)  (1636,1252)  (1636,1300)  (1346,1358)  | overflowToLeft=false
Delphi  (3007,1119)  (2959,1142)  (2959,1094)  (3007,1071)  (3055,1118)  | overflowToLeft=false
Tarraco  (991,797)  (943,844)  (943,796)  (1002,845)  (1005,749)  (1039,797)  (954,892)  (906,892)  (895,844)  | overflowToLeft=false
Caralis  (1774,975)  (1726,1022)  (1726,974)  (1808,1023)  (1774,927)  (1724,926)  (1756,1070)  (1772,879)  | overflowToLeft=false
Attalia  (3894,1076)  (3846,1123)  (3846,1075)  (3920,1124)  (3894,1028)  (3942,1028)  (3942,1076)  (3844,1027)  (3798,1154)  (3892,980)  (3940,980)  (3990,1036)  (3796,1071)  | overflowToLeft=false
Istropolis  (3415,359)  (3367,347)  (3401,407)  (3415,311)  (3401,455)  (3353,487)  (3367,299)  (3463,314)  | overflowToLeft=false
Susa  (5166,1598)  (5118,1645)  (5118,1597)  (5213,1646)  (5166,1550)  (5214,1550)  (5214,1598)  (5116,1549)  (5165,1693)  (5117,1693)  (5070,1645)  (5070,1597)  (5261,1646)  (5261,1694)  (5213,1694)  (5262,1551)  (5068,1549)  (5022,1599)  (5309,1599)  (5309,1647)  (5309,1695)  | overflowToLeft=false
Durostorum  (3063,411)  (3015,422)  (3015,374)  (3110,459)  (3063,363)  (3111,363)  (3111,411)  (3062,470)  (2977,326)  (2967,389)  (2929,341)  | overflowToLeft=false
40  (2452,1520)  (2404,1567)  (2404,1519)  (2499,1568)  (2452,1472)  (2500,1472)  (2500,1520)  (2547,1568)  (2548,1445)  (2548,1493)  | overflowToLeft=false
Tavium  (3987,801)  (3939,848)  (3939,800)  (4034,849)  (3987,753)  (4035,753)  (4035,801)  (3937,752)  (3986,896)  (3891,822)  (4034,897)  (4083,731)  (4083,779)  (3889,774)  (4131,766)  (4139,814)  | overflowToLeft=false
41  (2497,1703)  (2449,1750)  (2449,1702)  (2544,1751)  (2497,1655)  (2545,1655)  (2545,1703)  (2447,1654)  (2496,1798)  (2448,1798)  (2551,1799)  (2599,1800)  (2641,1848)  (2593,1848)  | overflowToLeft=false
42  (2646,1599)  (2598,1646)  (2598,1598)  (2693,1647)  (2646,1551)  (2694,1551)  (2694,1599)  (2596,1550)  (2641,1694)  (2593,1694)  (2627,1742)  | overflowToLeft=false
43  (2640,1421)  (2592,1468)  (2592,1420)  (2687,1469)  (2640,1373)  (2688,1373)  (2688,1421)  (2590,1372)  (2736,1344)  | overflowToLeft=false
Aelana  (4075,2028)  (4027,2052)  (4027,2004)  (4123,1983)  (4123,2031)  (3979,2052)  (3979,2004)  (4171,1964)  (4171,2012)  (4219,1976)  (4219,2024)  | overflowToLeft=false
44  (2679,1205)  (2631,1252)  (2631,1160)  (2722,1253)  (2679,1157)  (2592,1112)  (2674,1300)  (2626,1300)  (2722,1301)  (2640,1109)  | overflowToLeft=false
45  (2805,1055)  (2757,1037)  (2811,1103)  (2805,1007)  (2859,1068)  (2763,1130)  (2911,1163)  | overflowToLeft=false
46  (2722,882)  (2674,911)  (2674,863)  (2769,930)  (2722,834)  (2770,834)  (2770,882)  (2655,815)  (2703,786)  (2751,786)  | overflowToLeft=false
Hispatis  (315,1086)  (267,1133)  (362,1134)  (289,1038)  (337,1038)  (363,1086)  (385,1016)  (272,1181)  (219,1152)  (411,1108)  | overflowToLeft=false
47  (2551,780)  (2503,815)  (2503,767)  (2598,828)  (2551,732)  (2599,732)  (2599,780)  (2489,719)  (2550,863)  (2617,876)  (2537,684)  (2466,671)  | overflowToLeft=false
48  (2347,668)  (2299,651)  (2394,716)  (2347,620)  (2395,620)  (2395,668)  (2281,603)  (2428,764)  (2380,764)  | overflowToLeft=false
49  (2244,483)  (2196,522)  (2196,474)  (2291,531)  (2292,479)  (2187,426)  (2235,426)  (2339,527)  (2340,471)  (2223,378)  | overflowToLeft=false
Augustoritum  (1257,342)  (1209,389)  (1209,341)  (1304,390)  (1305,311)  (1207,293)  (1352,359)  (1352,407)  (1380,455)  | overflowToLeft=false
Byzantium  (3388,738)  (3340,785)  (3340,737)  (3436,716)  (3436,764)  (3484,768)  (3388,786)  (3371,689)  | overflowToLeft=false
Vologesia  (4806,1848)  (4758,1895)  (4758,1847)  (4853,1896)  (4806,1800)  (4854,1839)  (4756,1799)  (4805,1943)  (4757,1943)  (4710,1895)  (4710,1847)  (4901,1938)  (4853,1944)  (4804,1752)  (4708,1799)  (4714,1751)  (4852,1734)  (4662,1892)  (4886,1992)  (4787,1704)  | overflowToLeft=false
Roma  (2254,840)  (2206,870)  (2206,822)  (2301,888)  (2188,774)  (2158,838)  (2140,790)  (2092,798)  | overflowToLeft=false
Logdunum  (1387,185)  (1339,232)  (1339,184)  (1434,233)  (1387,137)  (1435,137)  (1435,185)  (1373,280)  (1291,262)  (1291,214)  (1291,166)  (1482,233)  (1483,106)  (1483,154)  (1530,202)  (1530,250)  | overflowToLeft=false
Alexandria  (3447,1886)  (3399,1933)  (3399,1885)  (3494,1934)  (3447,1838)  (3495,1838)  (3495,1886)  (3351,1963)  (3351,1915)  (3351,1867)  | overflowToLeft=false
Azara  (4137,0)  (4089,36)  (4185,0)  (4041,64)  (4041,16)  (4233,0)  (4272,48)  (3993,45)  (4281,0)  (4320,48)  (4329,0)  | overflowToLeft=false
50  (2844,1253)  (2796,1300)  (2796,1252)  (2891,1301)  (2844,1205)  (2892,1236)  (2794,1204)  (2939,1290)  (2940,1209)  | overflowToLeft=false
Corinth  (3045,1232)  (2997,1265)  (3093,1204)  | overflowToLeft=false
51  (2830,1430)  (2782,1477)  (2782,1429)  (2877,1478)  (2830,1382)  (2878,1382)  (2878,1430)  | overflowToLeft=false
52  (2865,1590)  (2817,1618)  (2817,1570)  (2865,1542)  (2913,1542)  (2913,1590)  (2923,1638)  | overflowToLeft=false
53  (3022,1442)  (2974,1489)  (2974,1441)  (3069,1490)  (3070,1420)  (2972,1393)  (2947,1345)  | overflowToLeft=false
Aquincum  (2823,95)  (2775,142)  (2775,94)  (2842,143)  (2823,47)  (2871,47)  (2773,46)  (2794,190)  (2746,190)  (2919,0)  (2698,219)  | overflowToLeft=false
Phasis  (4411,428)  (4363,457)  (4455,380)  (4459,428)  (4472,476)  (4503,379)  (4315,478)  (4507,427)  (4520,475)  (4555,400)  (4568,448)  (4568,496)  | overflowToLeft=false
Apollonia  (2856,858)  (2882,906)  (2831,810)  (2879,810)  (2830,762)  (2878,762)  | overflowToLeft=false
Messana  (2383,1265)  (2335,1312)  (2335,1264)  (2416,1313)  (2287,1307)  (2287,1259)  (2431,1265)  | overflowToLeft=false
54  (3040,1617)  (2992,1664)  (2992,1616)  (3087,1665)  (3040,1569)  (2990,1568)  (3039,1712)  (3128,1713)  | overflowToLeft=false
55  (3237,1644)  (3189,1691)  (3189,1643)  (3277,1692)  (3237,1596)  (3187,1595)  (3229,1739)  (3181,1739)  (3277,1740)  (3139,1615)  (3139,1567)  | overflowToLeft=false
56  (3379,1664)  (3331,1711)  (3331,1663)  (3426,1712)  (3379,1616)  (3427,1616)  (3427,1664)  (3329,1615)  (3378,1759)  (3330,1759)  (3457,1760)  (3427,1568)  | overflowToLeft=false
57  (3577,1676)  (3529,1723)  (3529,1675)  (3624,1724)  (3577,1628)  (3625,1628)  (3625,1676)  (3527,1627)  | overflowToLeft=false
Senio  (2443,506)  (2395,494)  (2490,554)  (2442,554)  (2443,458)  (2491,458)  (2491,506)  (2383,446)  (2538,554)  (2538,602)  (2490,602)  (2431,410)  (2539,487)  | overflowToLeft=false
Elusa  (981,422)  (933,469)  (933,421)  (990,470)  (981,374)  (1029,374)  (1029,422)  (931,373)  (1077,369)  | overflowToLeft=false
58  (3756,1673)  (3708,1720)  (3708,1672)  (3803,1721)  (3756,1625)  (3804,1625)  (3804,1673)  (3706,1624)  (3755,1768)  (3847,1769)  | overflowToLeft=false
59  (3940,1608)  (3892,1655)  (3892,1607)  (3962,1656)  (3940,1560)  (3988,1560)  (3988,1608)  (3890,1559)  (3914,1703)  (4036,1537)  (3897,1751)  | overflowToLeft=false
Jerusalem  (4038,1695)  (3990,1742)  (4050,1647)  (3996,1790)  (3948,1790)  (4068,1599)  (3979,1838)  (3959,1886)  (3950,1934)  | overflowToLeft=false
Carthago  (1816,1298)  (1768,1345)  (1768,1297)  (1863,1346)  (1816,1250)  (1864,1284)  (1766,1249)  (1733,1393)  (1720,1345)  (1720,1297)  (1718,1249)  | overflowToLeft=false
Artaxata  (4683,660)  (4635,693)  (4635,645)  (4730,708)  (4683,612)  (4731,612)  (4731,660)  (4619,597)  (4587,667)  (4778,708)  (4778,756)  (4730,756)  (4779,590)  (4779,638)  (4571,619)  (4571,571)  (4523,594)  | overflowToLeft=false
Trapezus  (4335,579)  (4287,626)  (4287,578)  (4382,627)  (4335,531)  (4383,531)  (4383,579)  (4286,530)  (4239,659)  (4239,611)  (4430,627)  (4431,516)  (4431,564)  (4478,627)  | overflowToLeft=false
Castulo  (612,959)  (564,956)  (659,1007)  (660,928)  (560,908)  (512,946)  (512,898)  (502,850)  | overflowToLeft=false
Cydonia  (3262,1511)  (3214,1528)  (3310,1515)  (3166,1514)  (3358,1516)  (3406,1511)  | overflowToLeft=false
60  (3955,1401)  (3907,1448)  (3907,1400)  (4002,1449)  (3955,1353)  (4003,1353)  (4003,1401)  (3954,1496)  (3906,1496)  (4040,1497)  | overflowToLeft=false
61  (4015,1223)  (3967,1202)  (4062,1271)  (4014,1271)  (4015,1175)  (4063,1196)  (3966,1277)  (3919,1215)  (3986,1127)  (4034,1127)  | overflowToLeft=false
62  (3771,1245)  (3723,1261)  (3723,1213)  (3819,1209)  (3696,1319)  (3698,1367)  (3848,1407)  (3747,1407)  (3800,1414)  | overflowToLeft=false
63  (3772,1490)  (3724,1537)  (3724,1489)  (3819,1538)  (3820,1452)  | overflowToLeft=false
64  (3603,1484)  (3555,1531)  (3555,1483)  (3650,1532)  (3603,1436)  (3651,1436)  (3651,1484)  (3553,1435)  (3507,1546)  (3507,1498)  (3505,1450)  | overflowToLeft=false
65  (3562,1302)  (3514,1349)  (3514,1301)  (3609,1350)  (3562,1254)  (3610,1260)  (3512,1253)  (3657,1308)  (3657,1356)  (3658,1258)  | overflowToLeft=false
66  (3378,1388)  (3330,1435)  (3330,1387)  (3425,1436)  (3378,1340)  (3426,1378)  (3328,1339)  (3376,1292)  (3318,1291)  | overflowToLeft=false
67  (3241,1376)  (3193,1423)  (3280,1424)  (3196,1328)  (3244,1328)  (3145,1443)  (3221,1280)  (3269,1280)  | overflowToLeft=false
68  (3331,1184)  (3283,1213)  (3283,1165)  (3381,1134)  (3416,1212)  | overflowToLeft=false
69  (3216,1059)  (3262,1107)  (3169,1011)  (3264,1047)  (3162,963)  (3312,1046)  | overflowToLeft=false
Nicaea  (3622,818)  (3574,838)  (3574,790)  (3642,866)  (3622,770)  (3670,770)  (3670,818)  (3553,742)  (3718,796)  | overflowToLeft=false
Euphrates  (4602,1679)  (4554,1726)  (4554,1678)  (4649,1727)  (4602,1631)  (4650,1631)  (4650,1679)  (4601,1774)  (4553,1774)  (4506,1726)  (4654,1775)  (4639,1583)  (4698,1617)  (4698,1665)  (4606,1822)  (4746,1640)  | overflowToLeft=false
Tanais  (3768,18)  (3720,28)  (3800,66)  (3816,0)  (3672,32)  (3864,0)  (3848,48)  (3624,0)  | overflowToLeft=false
Gades  (340,1236)  (292,1283)  (388,1217)  (340,1284)  | overflowToLeft=false
Pessinus  (3801,890)  (3753,937)  (3753,889)  (3824,938)  (3801,842)  (3849,861)  (3872,909)  (3705,962)  (3705,914)  | overflowToLeft=false
Bostra  (4158,1709)  (4110,1756)  (4110,1708)  (4199,1757)  (4206,1695)  (4254,1670)  (4300,1622)  (4302,1670)  | overflowToLeft=false
Patavium  (2101,369)  (2053,416)  (2126,417)  (2111,321)  (2159,311)  (2078,464)  (2135,465)  (2127,263)  (2175,263)  (2207,311)  (2124,513)  (2274,380)  | overflowToLeft=false
Palantia  (681,680)  (633,713)  (633,665)  (681,632)  (729,632)  (729,680)  (631,617)  (746,728)  (585,715)  (679,584)  (727,584)  (775,584)  (777,632)  (777,680)  | overflowToLeft=false
Corduba  (511,1073)  (463,1073)  (462,1025)  (510,1025)  (558,1025)  (559,1073)  (563,1121)  (607,1054)  (611,1102)  | overflowToLeft=false
70  (3277,929)  (3254,977)  (3246,881)  (3294,881)  (3331,992)  | overflowToLeft=false
71  (3499,654)  (3451,674)  (3451,626)  (3512,702)  (3547,618)  (3560,666)  | overflowToLeft=false
72  (3640,561)  (3592,580)  (3592,532)  (3687,609)  (3688,525)  (3639,628)  (3544,580)  (3544,532)  (3736,525)  (3638,676)  (3496,580)  (3496,532)  (3448,580)  (3448,532)  | overflowToLeft=false
73  (3531,417)  (3483,464)  (3483,416)  (3578,465)  (3531,369)  | overflowToLeft=false
74  (3547,257)  (3499,267)  (3523,209)  (3571,209)  (3595,257)  (3619,199)  (3643,294)  | overflowToLeft=false
75  (3676,425)  (3628,472)  (3628,424)  (3723,473)  (3676,377)  (3724,377)  (3724,425)  (3626,376)  | overflowToLeft=false
76  (3883,458)  (3835,505)  (3835,457)  (3930,506)  (3931,414)  | overflowToLeft=false
77  (4080,480)  (4032,527)  (4032,479)  (4127,528)  (4128,450)  | overflowToLeft=false
Salmantica  (427,783)  (379,830)  (379,782)  (441,831)  (427,735)  (475,735)  (475,783)  (377,734)  (393,878)  (345,878)  (425,687)  (441,909)  (393,926)  (345,926)  | overflowToLeft=false
78  (4234,423)  (4252,471)  (4204,471)  (4201,375)  (4249,375)  (4232,519)  | overflowToLeft=false
